Filename	Segment	posemo	negemo	reward	risk	focuspast	focuspresent	focusfuture
allText0.txt	1	3,70	0,65	2,83	0,65	2,17	6,74	0,65
allText1.txt	1	2,12	2,54	1,27	0,85	3,81	11,44	0,85
allText10.txt	1	2,04	0,58	1,02	0,44	0,73	6,40	1,75
allText100.txt	1	0,39	0,79	0,00	0,39	0,79	4,33	0,00
allText101.txt	1	3,30	0,30	0,60	0,30	1,20	8,41	1,50
allText102.txt	1	4,29	1,84	1,23	1,84	1,23	11,04	1,23
allText103.txt	1	3,07	1,26	1,44	0,18	2,71	5,42	2,17
allText104.txt	1	5,28	2,64	2,64	0,88	0,88	10,26	1,76
allText105.txt	1	4,76	2,12	0,53	2,65	0,53	7,41	2,12
allText106.txt	1	4,87	1,69	3,18	0,75	3,75	8,99	1,31
allText107.txt	1	4,31	0,86	1,29	0,43	0,86	6,47	2,16
allText108.txt	1	4,38	1,25	2,50	0,62	1,25	7,50	0,62
allText109.txt	1	4,14	1,18	0,89	1,18	0,59	5,62	3,55
allText11.txt	1	2,81	1,40	1,25	0,78	3,28	9,67	2,50
allText110.txt	1	5,38	1,08	3,58	1,43	1,43	16,85	4,66
allText111.txt	1	4,10	0,63	1,58	0,95	3,15	8,83	3,15
allText112.txt	1	7,14	1,10	0,55	1,10	2,75	13,74	1,10
allText113.txt	1	3,23	0,69	1,61	0,46	2,30	7,14	1,38
allText114.txt	1	4,16	0,55	1,66	0,55	1,66	8,86	1,94
allText115.txt	1	4,71	2,09	2,09	1,05	1,57	16,23	2,62
allText116.txt	1	3,69	0,34	1,01	0,17	0,67	10,72	4,19
allText117.txt	1	4,05	0,46	1,83	0,46	2,14	8,33	1,60
allText118.txt	1	9,26	1,85	3,70	1,85	0,00	11,11	3,70
allText119.txt	1	4,24	1,27	0,85	1,69	1,27	9,32	3,81
allText12.txt	1	0,35	0,35	0,00	0,35	0,00	3,51	0,00
allText120.txt	1	2,59	1,04	2,59	0,00	4,15	11,40	1,55
allText121.txt	1	7,14	7,14	0,00	7,14	0,00	7,14	0,00
allText122.txt	1	5,13	2,56	0,00	3,85	2,56	10,26	3,85
allText123.txt	1	5,28	0,00	1,22	0,00	4,47	8,94	2,03
allText124.txt	1	5,16	1,57	3,59	0,67	1,35	13,23	1,57
allText125.txt	1	4,08	2,33	4,37	1,46	0,87	11,08	4,37
allText126.txt	1	5,10	0,78	1,70	0,39	1,05	14,38	2,48
allText127.txt	1	7,47	0,83	2,07	0,83	0,00	13,28	1,24
allText128.txt	1	3,18	0,33	1,43	0,11	1,43	9,11	1,54
allText129.txt	1	4,19	1,86	2,79	0,93	2,33	13,02	2,33
allText13.txt	1	2,91	0,34	1,71	0,34	1,20	10,77	1,88
