0.0 1500 0 36 456 28.333474867465185 3,70 0,65 2,83 0,65 2,17 6,74 0,65
0.0 500 0 60 236 53.297801595214366 2,12 2,54 1,27 0,85 3,81 11,44 0,85
0.12 100000 0 60 681 29.14520758017494 1,76 1,47 0,44 1,32 0,59 7,77 3,37
0.0 5000 0 30 197 56.304977422003304 4,46 0,99 2,97 0,50 4,95 7,92 0,99
11.049037864680322 3222 1 32 231 20.468714234620904 0,43 0,43 0,00 0,43 0,00 6,01 0,00
8.738461538461538 13000 0 30 998 43.48144510828976 3,23 1,47 1,17 1,17 1,27 10,07 2,93
0.0 50000 0 30 324 43.4804343891403 3,40 1,85 0,93 1,54 1,23 12,96 0,62
0.0 10000 0 45 504 42.32358582677168 4,13 1,38 1,18 1,18 0,59 10,61 2,36
2.55 6000 7 30 63 55.22017857142856 3,17 3,17 0,00 3,17 3,17 9,52 1,59
0.0 15000 0 30 263 24.977994652406437 2,95 1,85 1,11 0,37 2,95 4,80 0,74
0.9863013698630136 7300 10 30 683 -28.097007299270047 2,04 0,58 1,02 0,44 0,73 6,40 1,75
8.260000000000002 10000 10 60 634 53.933363584798656 2,81 1,40 1,25 0,78 3,28 9,67 2,50
0.0 1700 0 5 272 40.56206140350881 0,35 0,35 0,00 0,35 0,00 3,51 0,00
3.8 10000 0 45 579 41.505538461538464 2,91 0,34 1,71 0,34 1,20 10,77 1,88
0.0 12000 0 45 633 41.05462051433207 3,17 0,60 1,51 0,75 1,51 10,41 2,71
0.0 50000 5 30 952 59.457110136259246 6,90 1,25 2,19 0,63 2,82 10,55 1,88
0.0 20000 0 32 757 36.70287802649614 3,23 1,74 1,86 2,11 1,12 7,07 0,87
0.0033333333333333335 30000 0 30 410 39.923258569614916 3,90 0,73 2,20 0,98 1,95 9,76 2,20
0.04166666666666667 48000 0 60 748 55.153618869810686 2,79 0,93 1,46 0,27 5,19 7,05 0,66
0.0 2080 0 31 157 54.30704121964996 2,48 0,62 0,00 0,62 4,97 7,45 1,24
0.0 500 0 30 135 64.54617647058825 5,15 1,47 1,47 1,47 2,21 10,29 2,21
3.0 2000 0 60 227 50.10132183908047 5,17 2,59 3,45 1,72 1,29 7,76 3,45
8.0 250 5 25 273 58.80810687655344 2,50 0,71 1,07 0,71 0,36 8,57 3,21
0.8333333333333334 3000 0 30 566 53.28516010116164 4,39 0,53 1,93 0,53 1,58 12,30 1,58
2.0 250 0 45 242 70.15433687866292 3,79 0,76 3,79 1,14 0,38 12,88 3,41
73.0 24000 12 40 2271 38.19087164925037 2,02 0,21 0,84 0,04 0,55 6,32 1,01
12.8 2000 11 20 523 66.23863216266176 4,01 1,72 2,67 0,95 3,44 14,69 2,86
5.454545454545454 495 4 30 164 51.566079545454585 4,88 1,22 1,22 1,22 0,61 12,80 1,83
30.995260663507107 5275 10 20 403 33.7168543165468 2,63 2,63 1,67 3,59 0,48 9,81 1,67
0.01818181818181818 5500 0 45 355 51.15350024307247 7,02 0,84 3,65 1,12 3,37 12,92 1,12
1.4000000000000001 4000 0 60 698 67.47389943046007 4,20 0,42 2,52 0,28 1,96 12,18 2,94
0.0 3500 0 50 358 66.2375331491713 5,01 0,56 2,23 0,28 0,28 14,76 4,74
0.0 7000 0 14 511 60.79958143208145 4,07 1,36 2,71 0,78 0,97 12,21 1,36
1.640625 1280 0 30 95 41.5412523191095 5,10 1,02 1,02 1,02 2,04 11,22 2,04
0.305 20000 0 30 468 48.80484819734349 4,50 0,39 2,94 0,59 0,59 9,98 3,72
